ID,SMOOTHED_AMPLITUDE_mean,SMOOTHED_AMPLITUDE_std,SMOOTHED_AMPLITUDE_max,VELOCITY_mean,VELOCITY_std,VELOCITY_max,ACCELERATION_mean,ACCELERATION_std,ACCELERATION_max,DISTANCE_ANG_mean,DISTANCE_ANG_std,FREQUENCY_mean,FREQUENCY_std,FREQUENCY_count,INTERVAL_STD,INTERVAL_CV
CONTROL110_IZDA,0.463351959,0.243854753,0.737356043,-0.056087886,1.745719921,3.15846767,-0.056087886,1.745719921,3.15846767,0.312917264,0.198611382,0.074560371,0.281996922,150,0.052050648,0.114856613
CONTROL11_DCHA,0.445963068,0.299173578,0.836039928,0.005808998,2.068158944,3.832519559,0.005808998,2.068158944,3.832519559,0.30835149,0.246004553,0.116771881,0.43711503,150,0.0533128,0.112676056
CONTROL11_IZDA,0.617859541,0.381378445,1.139208634,-0.047060799,2.892536149,5.247241248,-0.047060799,2.892536149,5.247241248,0.412555096,0.315502651,0.13319039,0.46751231,150,0.033167027,0.077144022
CONTROL12_DCHA,0.29612226,0.146721567,0.514208021,0.000655637,1.471530408,2.112198677,0.000655637,1.471530408,2.112198677,0.172962135,0.120277518,0.165217215,0.498621209,150,0.178058036,0.331706867
CONTROL12_IZDA,0.371785547,0.172086186,0.691954726,-0.028630251,1.897444658,4.128523527,-0.028630251,1.897444658,4.128523527,0.235937824,0.146041681,0.194382638,0.567111712,150,0.133157972,0.210526316
CONTROL13_DCHA,0.313675791,0.086315692,0.516033244,-0.011246121,1.59045105,2.927135332,-0.011246121,1.59045105,2.927135332,0.173965017,0.155477311,0.251797654,0.72108239,150,0.121724042,0.251097469
CONTROL13_IZDA,0.301335117,0.108550333,0.513101017,-0.008004796,1.854292853,2.958081383,-0.008004796,1.854292853,2.958081383,0.192593455,0.136528763,0.462596997,1.054796169,150,0.075514311,0.183381822
CONTROL14_DCHA,0.308345262,0.210599251,0.662668706,-0.003477186,1.988114128,3.143845321,-0.003477186,1.988114128,3.143845321,0.197901253,0.173368958,0.144570158,0.454770041,150,0.184565789,0.42944617
CONTROL14_IZDA,0.374377336,0.203794625,0.695723981,-0.00474851,2.072546538,3.21512011,-0.00474851,2.072546538,3.21512011,0.241985382,0.180900637,0.164928806,0.495574392,149,0.176737332,0.307779139
CONTROL15_DCHA,0.324651169,0.122018781,0.500188468,0.002973776,1.058016796,1.661149938,0.002973776,1.058016796,1.661149938,0.188177598,0.119755403,0.126931826,0.419282657,150,0.187655398,0.393291501
CONTROL15_IZDA,0.299969633,0.137492483,0.487912548,-0.036343925,1.404361595,2.162671702,-0.036343925,1.404361595,2.162671702,0.177243729,0.121960465,0.167999659,0.507566006,150,0.094797847,0.168752381
CONTROL16_DCHA,0.415682724,0.282578424,0.836215648,-0.000977705,1.996789492,3.406976674,-0.000977705,1.996789492,3.406976674,0.273352882,0.220552317,0.073814624,0.277581784,150,0.026651591,0.058823529
CONTROL16_IZDA,0.442164398,0.303745528,0.986482366,-0.041488335,2.103322868,3.783398057,-0.041488335,2.103322868,3.783398057,0.277812893,0.2260356,0.136986137,0.477718931,150,0.03263464,0.070999703
CONTROL17_DCHA,0.403634638,0.215140179,0.670288984,-0.009560149,2.032812217,2.916434737,-0.009560149,2.032812217,2.916434737,0.254373294,0.185663681,0.147116322,0.468339763,150,0.099781256,0.183047005
CONTROL17_IZDA,0.346719188,0.164355063,0.668470381,0.027073388,1.796925992,2.457535706,0.027073388,1.796925992,2.457535706,0.199419286,0.146609611,0.168442205,0.512086949,150,0.108585249,0.239845683
CONTROL18_DCHA,0.336531683,0.147769187,0.554431716,0.032002553,1.383460735,2.04044667,0.032002553,1.383460735,2.04044667,0.201368925,0.136340766,0.141350859,0.443971544,150,0.123168213,0.282442748
CONTROL18_IZDA,0.30878004,0.150273805,0.557000865,0.007786102,1.740629881,2.566921882,0.007786102,1.740629881,2.566921882,0.179617346,0.146258106,0.235431137,0.642709903,150,0.088074803,0.160348564
CONTROL19_DCHA,0.259925705,0.136198703,0.49352205,0.013435716,1.631189466,2.250791345,0.013435716,1.631189466,2.250791345,0.15748398,0.120330352,0.238207906,0.649356165,150,0.096249421,0.168832606
CONTROL20_DCHA,0.33735319,0.167971406,0.669984798,0.02323555,2.080251496,2.874336772,0.02323555,2.080251496,2.874336772,0.208062232,0.167486302,0.300534188,0.778250496,149,0.122036638,0.26387876
CONTROL20_IZDA,0.331131849,0.145228841,0.603141874,-0.051930965,1.862973463,2.65599281,-0.051930965,1.862973463,2.65599281,0.20326409,0.142806833,0.321980497,0.816295699,145,0.115241185,0.221558119
CONTROL21_DCHA,0.393233703,0.14047101,0.610651489,-0.000824446,1.772174061,2.82622036,-0.000824446,1.772174061,2.82622036,0.232468145,0.150481049,0.267598751,0.707835592,150,0.137263853,0.235606036
CONTROL21_IZDA,0.390764747,0.114716287,0.563397362,-0.007323914,1.578346413,2.383490481,-0.007323914,1.578346413,2.383490481,0.236333038,0.138691367,0.354719288,0.857672016,148,0.033454993,0.079132879
CONTROL22_DCHA,0.350018285,0.183546397,0.635321719,0.02987486,1.665465714,2.526206623,0.02987486,1.665465714,2.526206623,0.217151742,0.156717717,0.124867389,0.407624851,150,0.088455957,0.234373198
CONTROL22_IZDA,0.39892467,0.151893778,0.612283102,0.028175013,1.492121364,2.303556781,0.028175013,1.492121364,2.303556781,0.223907658,0.151371961,0.161803818,0.488470328,150,0.214794891,0.344781368
CONTROL23_DCHA,0.427781305,0.222233032,0.772493621,0.008220244,2.096471279,3.277839846,0.008220244,2.096471279,3.277839846,0.287429386,0.185390854,0.13410661,0.439953915,150,0.140914153,0.269373316
CONTROL23_IZDA,0.351370046,0.186105897,0.64858104,0.020000315,1.74774757,2.801370647,0.020000315,1.74774757,2.801370647,0.223186385,0.147093055,0.148095381,0.468976008,150,0.154141318,0.340465791
CONTROL24_DCHA,0.418058034,0.172370946,0.668813616,0.002975378,1.706299716,2.421594834,0.002975378,1.706299716,2.421594834,0.254904468,0.175708086,0.161728928,0.489789153,150,0.169015698,0.324075451
CONTROL24_IZDA,0.41589679,0.213721016,0.719291013,-0.009683105,2.127136894,2.926466685,-0.009683105,2.127136894,2.926466685,0.264780893,0.20046402,0.15011607,0.470084221,150,0.196168521,0.386203901
CONTROL25_DCHA,0.349314602,0.155842029,0.524021778,4.49E-05,0.987734702,1.837610486,4.49E-05,0.987734702,1.837610486,0.219187394,0.126948898,0.04859743,0.20723026,150,0.070145642,0.125763429
CONTROL25_IZDA,0.355240377,0.13834264,0.554521199,-0.00783588,0.914376131,2.217959616,-0.00783588,0.914376131,2.217959616,0.203269749,0.125035363,0.080271308,0.313275157,150,0.075464335,0.155695252
CONTROL995_DCHA,0.424375751,0.200340106,0.713833981,0.010826139,2.017815394,2.814020304,0.010826139,2.017815394,2.814020304,0.275368772,0.173732049,0.151235681,0.475471633,150,0.106108445,0.261268483
